respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.21263397,0.09249415
26708,0.017186435,0.018541297
26709,0.062299658,0.6281976
26710,0.734843,0.9350315
26711,0.12120912,0.36703435
26712,0.9592951,0.9767313
26713,0.120897114,0.67247653
26714,0.055010952,0.11503712
26715,0.015656246,0.08106431
26716,0.19277915,0.9483228
26717,0.009306205,0.41497955
26718,0.14361157,0.68321955
26719,0.12910946,0.96075845
26720,0.00930486,0.24203417
26721,0.3895572,0.2443786
26722,0.093190834,0.07658145
26723,0.85946,0.96476084
26724,0.042424947,0.78547436
26725,0.0024003088,0.06822726
26726,0.02309888,0.017582664
26727,0.41684085,0.9271351
26728,0.09823371,0.45023155
26729,0.0350543,0.9331852
26730,0.022656837,0.10196061
26731,0.013592471,0.121520445
26732,0.081854366,0.100793734
26733,0.95180166,0.9771408
26734,0.7289816,0.05989608
26735,0.0524628,0.27441055
26736,0.023069493,0.19874921
26737,0.053270716,0.07807032
26738,0.8898748,0.9459676
26739,0.105906725,0.12801485
26740,0.11263436,0.06474283
26741,0.08291628,0.9296064
26742,0.06257748,0.42251828
26743,0.044361003,0.35935366
26744,0.027244708,0.6760223
26745,0.052474435,0.9084942
26746,0.14194311,0.191727
26747,0.050549336,0.3139851
26748,0.047279604,0.018993912
26749,0.09394625,0.7322877
26750,0.4767081,0.8819256
26751,0.7156392,0.7299641
26752,0.020009805,0.069810346
26753,0.25222868,0.5148616
26754,0.06877124,0.52224326
26755,0.105750054,0.6413145
26756,0.010999666,0.018285066
26757,0.15193646,0.40125284
26758,0.84988576,0.8948486
26759,0.03167581,0.133169
26760,0.022307927,0.03463586
26761,0.5087005,0.44744802
26762,0.16929823,0.90744585
26763,0.8575818,0.9597609
26764,0.99653363,0.99628997
26765,0.0030418872,0.52807873
26766,0.07084563,0.115370624
26767,0.94691837,0.7961157
26768,0.0056833895,0.4032256
26769,0.044158287,0.116513185
26770,0.013571268,0.5074822
26771,0.006267479,0.11134394
26772,0.025151387,0.6310425
26773,0.0047130585,0.13215257
26774,0.12002918,0.69263977
26775,0.012291834,0.33877093
26776,0.43611187,0.3497058
26777,0.0847924,0.90694064
26778,0.02866783,0.012546108
26779,0.27051926,0.5794113
26780,0.010216661,0.96957684
26781,0.04269631,0.3759946
26782,0.07901266,0.22541979
26783,0.021800082,0.27852672
26784,0.12889124,0.83045363
26785,0.20063601,0.5025435
26786,0.03344972,0.194642
26787,0.050088707,0.6124471
26788,0.0121394815,0.87892115
26789,0.0025825608,0.10435109
26790,0.008092348,0.13499382
26791,0.044321336,0.08605877
26792,0.047787532,0.4811163
26793,0.26441383,0.9801296
26794,0.60093707,0.80811185
26795,0.10479236,0.99152315
26796,0.02103342,0.018875174
26797,0.3250375,0.72358817
26798,0.15204313,0.114115715
26799,0.30388355,0.3227559
26800,0.030494764,0.95423454
26801,0.18931441,0.40842348
26802,0.08764874,0.1795607
26803,0.041741733,0.19118734
26804,0.028284848,0.04649048
26805,0.11673985,0.15306571
26806,0.019755214,0.92414296
26807,0.49470145,0.91474324
26808,0.017975533,0.19483596
26809,0.15238008,0.17674437
26810,0.046987217,0.044469967
26811,0.01378119,0.04408971
26812,0.09606639,0.9750737
26813,0.57675534,0.38852337
26814,0.013326741,0.8306078
26815,0.0025401784,0.010076831
26816,0.061039254,0.044463582
26817,0.020875726,0.37089014
26818,0.1486503,0.3916222
26819,0.08887997,0.30152097
26820,0.0635654,0.15574181
26821,0.021045327,0.7584926
26822,0.053950954,0.59264475
26823,0.10118611,0.5154255
26824,0.013155981,0.5683951
26825,0.33506685,0.58453107
26826,0.03805566,0.776063
26827,0.047272418,0.019690529
26828,0.027850548,0.23082207
26829,0.84179497,0.95174897
26830,0.007906244,0.8669183
26831,0.08767589,0.9280239
26832,0.029300578,0.9225613
26833,0.035143197,0.8182097
26834,0.08409685,0.34161568
26835,0.21952802,0.801563
26836,0.2816074,0.7518964
26837,0.03607099,0.01639305
26838,0.11142911,0.5295968
26839,0.06646763,0.38208398
26840,0.04984849,0.18059246
26841,0.8148189,0.88778466
26842,0.08319822,0.12114588
26843,0.010626786,0.042503443
26844,0.102514856,0.29157752
26845,0.013205841,0.8119727
26846,0.02478073,0.86961895
26847,0.3312594,0.09865806
26848,0.025201866,0.62023234
26849,0.5328882,0.30865586
26850,0.73740315,0.6814099
26851,0.031548046,0.048433285
26852,0.02006378,0.02099391
